car_trip_id,transit_trip_id,car_trip_sequence,car_pos_sequence,car_destination_time,transit_trip_sequence,transit_pos_sequence,transit_destination_time,car_arrival_time_transit_stop,integration_distance,shared_distance,destinations_distance
6033603_5_2,6021258_2_2,1,1,2010-06-01 13:37:13.000000,2,1,2010-06-01 14:08:57.000001,2010-06-01 13:16:57.999999,3439.037,16319.392,31087.612
6033603_5_2,6027231_1_2,1,1,2010-06-01 13:37:27.000001,1,1,2010-06-01 13:21:05.999999,2010-06-01 13:09:43.000000,2277.375,2240.716,14547.676
6033603_5_2,6027231_1_2,1,1,2010-06-01 13:37:27.000001,1,2,2010-06-01 13:21:17.000000,2010-06-01 13:10:30.999999,2399.894,2118.197,14547.676
6033603_5_2,6027231_1_2,1,1,2010-06-01 13:37:27.000001,2,1,2010-06-01 13:21:17.000000,2010-06-01 13:10:30.999999,2399.894,2118.197,14547.676
6033603_5_2,6027231_1_2,1,1,2010-06-01 13:37:27.000001,2,2,2010-06-01 13:21:24.000000,2010-06-01 13:13:24.000001,2932.176,1585.915,14547.676
6033603_5_2,6027231_1_2,1,1,2010-06-01 13:39:27.000001,2,3,2010-06-01 13:23:02.000000,2010-06-01 13:18:10.000000,4061.986,1038.136,14547.676
6033603_5_2,6027231_1_2,1,1,2010-06-01 13:39:27.000001,2,4,2010-06-01 13:23:55.000000,2010-06-01 13:20:56.000001,4366.4,792.848,14547.676
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:33:24.000000,1,1,2010-06-01 14:04:57.000001,2010-06-01 13:13:16.000000,3081.666,16302.003,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:31:06.999999,1,2,2010-06-01 14:02:57.000001,2010-06-01 13:12:58.000001,3049.843,15961.182,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:30:38.000002,1,3,2010-06-01 14:01:57.000001,2010-06-01 13:11:56.000000,2716.917,16136.872,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:31:39.999999,1,4,2010-06-01 14:02:57.000001,2010-06-01 13:12:44.000000,2851.915,16104.136,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:32:34.000000,1,5,2010-06-01 14:03:57.000001,2010-06-01 13:13:33.000000,2960.357,16047.25,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:34:27.000001,1,6,2010-06-01 14:05:57.000001,2010-06-01 13:14:26.000001,3019.659,16218.533,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:37:13.000000,1,7,2010-06-01 14:08:57.000001,2010-06-01 13:16:57.999999,3439.037,16319.392,31087.612
6033603_5_2,6021258_1_2,1,1,2010-06-01 13:37:13.000000,2,1,2010-06-01 14:08:57.000001,2010-06-01 13:16:57.999999,3439.037,16319.392,31087.612
6104081_3_1,6006005_1_1,1,1,2010-05-17 08:56:35.000001,2,11,2010-05-17 08:44:00.000000,2010-05-17 08:33:14.000001,836.988,5178.43,2865.36
6104081_3_1,6006005_1_1,1,1,2010-05-17 08:54:35.000001,2,12,2010-05-17 08:42:09.000000,2010-05-17 08:37:37.000000,1700.453,1140.127,2865.36
6104081_3_1,6036759_2_1,1,1,2010-05-17 08:57:37.000000,2,5,2010-05-17 08:49:14.999999,2010-05-17 08:38:36.000000,2354.052,3105.676,2235.632
6104081_3_1,6036759_2_1,1,1,2010-05-17 08:57:37.000000,2,6,2010-05-17 08:49:19.999999,2010-05-17 08:39:32.000001,2215.246,2416.137,2235.632
6104081_3_1,6036759_2_1,1,1,2010-05-17 08:57:37.000000,2,7,2010-05-17 08:49:30.000000,2010-05-17 08:42:22.000001,3054.726,1576.654,2235.632
6104081_3_1,6036052_1_1,1,1,2010-05-17 08:49:03.000000,1,1,2010-05-17 09:13:27.000001,2010-05-17 08:35:54.000001,1766.936,8270.632,17490.653
6104081_3_1,6036052_1_1,1,1,2010-05-17 08:49:38.000000,1,2,2010-05-17 09:13:27.000001,2010-05-17 08:33:21.000000,920.036,8231.961,17490.653
6104081_3_1,6036052_1_1,1,1,2010-05-17 08:49:24.000001,1,3,2010-05-17 09:13:27.000001,2010-05-17 08:33:14.000001,836.988,8145.362,17490.653
6104081_3_1,6036052_1_1,1,1,2010-05-17 08:49:24.000001,2,1,2010-05-17 09:13:27.000001,2010-05-17 08:33:14.000001,836.988,8145.362,17490.653
6104081_3_1,6035741_1_1,1,1,2010-05-17 08:59:10.000000,1,1,2010-05-17 08:45:50.999999,2010-05-17 08:35:25.000000,1417.328,6161.138,3001.979
6104081_3_1,6035741_1_1,1,1,2010-05-17 09:00:10.000000,1,2,2010-05-17 08:46:50.000000,2010-05-17 08:33:02.000000,896.672,5455.254,3001.979
