id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
2368,6085932,1,3,9,0,,2008-06-21 18:30:00,-73.9118389522,40.8849080469,2008-06-21 18:50:00,,
2369,6085932,1,4,7,0,,2008-06-21 21:30:00,,,2008-06-21 21:40:00,-73.9118389522,40.8849080469
2370,6086003,1,1,10,0,,2008-06-21 11:00:00,-73.8999688715,40.8950277382,2008-06-21 11:05:00,-73.8999688715,40.8950277382
2371,6086003,1,2,10,0,,2008-06-21 11:15:00,-73.8999688715,40.8950277382,2008-06-21 11:20:00,-73.8999688715,40.8950277382
2372,6086003,1,3,10,0,,2008-06-21 17:00:00,-73.8999688715,40.8950277382,2008-06-21 17:05:00,-73.8999688715,40.8950277382
2373,6086003,1,4,10,0,,2008-06-21 17:10:00,-73.8999688715,40.8950277382,2008-06-21 17:15:00,-73.8999688715,40.8950277382
2374,6086133,1,1,8,0,,2008-06-21 11:00:00,-73.8450958715,40.8553761241,2008-06-21 11:15:00,,
2375,6086133,1,2,8,0,,2008-06-21 11:45:00,,,2008-06-21 12:00:00,-73.8450958715,40.8553761241
2376,6086178,1,1,2,1,1142.0,2008-09-06 13:00:00,,,2008-09-06 13:30:00,-73.9483838701,40.7893697005
2377,6086178,1,2,1,1,1120.0,2008-09-06 20:00:00,-73.9483838701,40.7893697005,2008-09-06 20:30:00,,
2378,6086209,1,1,1,2,1138.0,2008-09-06 13:00:00,-73.9214241178,40.80972002,2008-09-06 14:00:00,-74.0004603527,40.7250504908
2379,6086209,1,2,1,2,1377.0,2008-09-06 22:00:00,-74.0004603527,40.7250504908,2008-09-06 22:50:00,-73.9214241178,40.80972002
