id,sampn,perno,tripno,MODE_G10,NSUB,StopAreaNo,date_time_origin,lon_origin,lat_origin,date_time_destination,lon_destination,lat_destination
954,6029106,2,1,3,0,,2008-05-04 13:00:00,-73.9585256312,40.7684672799,2008-05-04 13:30:00,-73.9904586232,40.7374347364
955,6029106,2,2,3,0,,2008-05-04 17:00:00,-73.9585256312,40.7684672799,2008-05-04 17:30:00,-73.9904586232,40.7374347364
956,6029199,1,1,7,0,,2008-06-01 18:00:00,-73.9585256312,40.7684672799,2008-06-01 19:00:00,,
957,6029199,1,2,8,0,,2008-06-01 19:30:00,,,2008-06-01 19:45:00,,
958,6029199,1,3,8,0,,2008-06-01 21:15:00,,,2008-06-01 22:30:00,-73.9585256312,40.7684672799
959,6029214,1,7,1,0,,2008-05-18 02:30:00,,,2008-05-18 03:00:00,-73.9585256312,40.7684672799
960,6029299,1,1,10,0,,2008-05-04 10:30:00,-73.9585256312,40.7684672799,2008-05-04 11:00:00,-73.9647335331,40.7727360448
961,6029299,1,2,10,0,,2008-05-04 12:00:00,-73.9647335331,40.7727360448,2008-05-04 12:30:00,-73.9585256312,40.7684672799
962,6029320,1,1,1,1,1116.0,2008-06-01 13:20:00,-73.9585256312,40.7684672799,2008-06-01 13:40:00,-73.9786156747,40.7243903464
963,6029320,1,2,1,0,,2008-06-01 17:40:00,-73.9786156747,40.7243903464,2008-06-01 18:10:00,-73.9585256312,40.7684672799
964,6029440,2,1,7,0,,2008-06-01 20:15:00,,,2008-06-01 21:30:00,-73.9654381285,40.7589568227
965,6029443,1,1,8,0,,2008-05-18 13:30:00,-73.9654381285,40.7589568227,2008-05-18 14:25:00,,
966,6029443,1,2,8,0,,2008-05-18 16:15:00,,,2008-05-18 16:30:00,,
967,6029443,1,3,8,0,,2008-05-18 17:45:00,,,2008-05-18 18:30:00,-73.9654381285,40.7589568227
968,6029589,1,1,7,0,,2008-06-01 09:00:00,-73.9677747247,40.7557880068,2008-06-01 09:30:00,-74.0098232411,40.7022608614
969,6029589,1,2,3,0,,2008-06-01 19:15:00,-74.0098232411,40.7022608614,2008-06-01 19:25:00,,
970,6029589,1,3,9,0,,2008-06-01 19:35:00,,,2008-06-01 19:40:00,-73.9677747247,40.7557880068
971,6029775,1,1,10,0,,2008-05-11 12:00:00,-73.9787965301,40.7774184952,2008-05-11 12:15:00,-73.965558675,40.7824729194
