transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost,detour_factor
6117807_1_1,11:710,6123890_1_1,1,45.63285461244999,25.033445234798258,56.7589989761184,0.6939393916356751
6117807_1_1,11:710,6123890_1_1,2,45.63285461244999,25.218796327481517,57.17925045893098,0.6939393916356751
6117807_1_1,11:710,6123890_1_1,3,45.63285461244999,25.409662061490287,57.61200543530638,0.6939393916356751
6117807_1_1,11:710,6123890_1_1,4,45.63285461244999,25.74611351619451,58.37485080452966,0.6939393916356751
6117807_1_1,11:710,6123890_1_1,5,45.63285461244999,25.99436200945633,58.93771124354283,0.6939393916356751
6118983_2_1,8:A24,6104482_1_2,7,19.7730293516075,10.18386088089022,25.000722698217277,0.7105590049689442
6119023_2_2,3:D20,6067195_2_4,1,20.218146602035,9.633519270858539,5.382504158582295,0.35845070326869677
6119023_2_2,3:D20,6067195_2_4,6,20.218146602035,10.033628617551798,6.7087363806532,0.4007042243657013
6119023_2_2,3:D20,6027444_1_4,1,20.218146602035,9.633519270858539,5.382504158582295,0.35845070326869677
6119023_2_2,3:D20,6027444_1_4,6,20.218146602035,10.033628617551798,6.7087363806532,0.4007042243657013
6119023_2_2,3:D20,6027450_2_4,1,20.218146602035,9.633519270858539,5.382504158582295,0.35845070326869677
6119023_2_2,3:D20,6027450_2_4,6,20.218146602035,10.033628617551798,6.7087363806532,0.4007042243657013
6119023_2_2,3:D19,6067195_2_4,1,20.218146602035,10.865968248079364,3.2767218480281364,0.2316901399776829
6119023_2_2,3:D19,6067195_2_4,6,20.218146602035,10.708057046817743,5.982877073717258,0.35845070326869677
6119023_2_2,3:D19,6027444_1_4,1,20.218146602035,10.865968248079364,3.2767218480281364,0.2316901399776829
6119023_2_2,3:D19,6027444_1_4,6,20.218146602035,10.708057046817743,5.982877073717258,0.35845070326869677
6119023_2_2,3:D19,6027450_2_4,1,20.218146602035,10.865968248079364,3.2767218480281364,0.2316901399776829
6119023_2_2,3:D19,6027450_2_4,6,20.218146602035,10.708057046817743,5.982877073717258,0.35845070326869677
6119023_2_2,3:D18,6067195_2_4,1,20.218146602035,10.865968248079364,3.2767218480281364,0.2316901399776829
6119023_2_2,3:D18,6067195_2_4,6,20.218146602035,11.413307783808479,5.2776263367265175,0.3161971821716922
6119023_2_2,3:D18,6067195_2_4,10,20.218146602035,15.840354941485744,5.976622739519255,0.2739436610746875
6119023_2_2,3:D18,6027444_1_4,1,20.218146602035,10.865968248079364,3.2767218480281364,0.2316901399776829
6119023_2_2,3:D18,6027444_1_4,6,20.218146602035,11.413307783808479,5.2776263367265175,0.3161971821716922
6119023_2_2,3:D18,6027444_1_4,10,20.218146602035,15.840354941485744,5.976622739519255,0.2739436610746875
6119023_2_2,3:D18,6027450_2_4,1,20.218146602035,10.865968248079364,3.2767218480281364,0.2316901399776829
6119023_2_2,3:D18,6027450_2_4,6,20.218146602035,11.413307783808479,5.2776263367265175,0.3161971821716922
6119023_2_2,3:D18,6027450_2_4,10,20.218146602035,15.840354941485744,5.976622739519255,0.2739436610746875
6119023_2_2,3:D17,6022080_2_5,1,12.755645555349997,12.375608292065714,2.921562713774287,0.190987125178827
6119023_2_2,3:D17,6067195_2_4,1,20.218146602035,10.464813890338984,3.9484118186035166,0.2739436610746875
6119023_2_2,3:D17,6067195_2_4,6,20.218146602035,10.164937159757658,6.796532573612345,0.4007042243657013
6119023_2_2,3:D17,6067195_2_4,10,20.218146602035,17.153491329785723,5.17277600366678,0.2316901399776829
6119023_2_2,3:D17,6022067_2_5,1,12.755645555349997,12.375608292065714,2.921562713774287,0.190987125178827
6119023_2_2,3:D17,6027444_1_4,1,20.218146602035,10.464813890338984,3.9484118186035166,0.2739436610746875
6119023_2_2,3:D17,6027444_1_4,6,20.218146602035,10.164937159757658,6.796532573612345,0.4007042243657013
6119023_2_2,3:D17,6027444_1_4,10,20.218146602035,17.153491329785723,5.17277600366678,0.2316901399776829
6119023_2_2,3:D17,6027450_2_4,1,20.218146602035,10.464813890338984,3.9484118186035166,0.2739436610746875
6119023_2_2,3:D17,6027450_2_4,6,20.218146602035,10.164937159757658,6.796532573612345,0.4007042243657013
6119023_2_2,3:D17,6027450_2_4,10,20.218146602035,17.153491329785723,5.17277600366678,0.2316901399776829
6119023_2_2,3:D17,6022080_3_5,1,12.755645555349997,12.375608292065714,2.921562713774287,0.190987125178827
6119125_1_2,11:108,6109168_1_2,1,42.907247691215005,21.744172641018714,45.523328589036275,0.676750700659244
6119125_1_2,11:108,6109168_1_2,2,42.907247691215005,19.97924714344738,49.00132577735512,0.7103641460562263
6119125_1_2,11:108,6109168_1_2,5,42.907247691215005,18.216752720495546,52.93620933425444,0.7439775914532086
6119125_1_2,11:108,6109168_1_2,6,42.907247691215005,25.391841335078222,45.761120719671766,0.6431372552622617
