transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6032847_1_2,3:117,6007906_3_3,7,35.0752378174,31.1119771314,8.3102982153
6032847_1_2,3:116,6007906_1_3,1,35.0752378174,29.6435038353,10.0220731549
6032847_1_2,3:116,6007906_1_3,4,35.0752378174,30.8131412531,9.56675395006
6032847_1_2,3:116,6007906_1_3,7,35.0752378174,32.239609107,9.43793019088
6032847_1_2,3:116,6054183_2_3,1,35.0752378174,29.6435038353,10.0220731549
6032847_1_2,3:116,6054183_2_3,4,35.0752378174,30.8131412531,9.56675395006
6032847_1_2,3:116,6054183_2_3,7,35.0752378174,32.239609107,9.43793019088
6032847_1_2,3:116,6007906_3_3,1,35.0752378174,29.6435038353,10.0220731549
6032847_1_2,3:116,6007906_3_3,4,35.0752378174,30.8131412531,9.56675395006
6032847_1_2,3:116,6007906_3_3,7,35.0752378174,32.239609107,9.43793019088
6032847_1_2,3:115,6007906_1_3,5,35.0752378174,31.2131432996,9.4695116209
6032847_1_2,3:115,6007906_1_3,8,35.0752378174,32.1717101396,9.05525554889
6032847_1_2,3:115,6054183_2_3,5,35.0752378174,31.2131432996,9.4695116209
6032847_1_2,3:115,6054183_2_3,8,35.0752378174,32.1717101396,9.05525554889
6032847_1_2,3:115,6007906_3_3,5,35.0752378174,31.2131432996,9.4695116209
6032847_1_2,3:115,6007906_3_3,8,35.0752378174,32.1717101396,9.05525554889
6032847_1_2,3:114,6007906_1_3,7,35.0752378174,31.8335208803,9.03184196419
6032847_1_2,3:114,6054183_2_3,7,35.0752378174,31.8335208803,9.03184196419
6032847_1_2,3:114,6007906_3_3,7,35.0752378174,31.8335208803,9.03184196419
6032847_2_2,3:124,6007906_1_3,1,35.0752378174,33.1295576055,13.5081269251
6032847_2_2,3:124,6007906_1_3,4,35.0752378174,34.402172793,13.1557854899
6032847_2_2,3:124,6054183_2_3,1,35.0752378174,33.1295576055,13.5081269251
6032847_2_2,3:124,6054183_2_3,4,35.0752378174,34.402172793,13.1557854899
6032847_2_2,3:124,6007906_3_3,1,35.0752378174,33.1295576055,13.5081269251
6032847_2_2,3:124,6007906_3_3,4,35.0752378174,34.402172793,13.1557854899
6032847_2_2,3:123,6007906_1_3,1,35.0752378174,31.7722099382,12.1507792578
6032847_2_2,3:123,6007906_1_3,4,35.0752378174,32.7313516211,11.484964318
