transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6032078_1_4,10:632,6005839_3_4,6,2010-06-05 21:55:17.999998,2010-06-05 22:32:00.000000,2010-06-05 22:10:47.999999,17893.291,7907.469,14862.322
6032078_1_4,10:632,6005839_3_4,9,2010-06-05 21:55:36.000001,2010-06-05 22:32:00.000000,2010-06-05 22:10:47.999999,16868.456,7907.469,14862.322
6032078_1_4,10:632,6005839_3_4,13,2010-06-05 21:56:54.999998,2010-06-05 22:33:00.000000,2010-06-05 22:11:47.999999,7394.028,7907.469,14862.322
6032078_1_4,10:631,6005839_3_4,1,2010-06-05 21:57:08.000000,2010-06-05 22:31:00.000000,2010-06-05 22:09:37.000000,19845.764,6693.193,14862.322
6032078_1_4,10:631,6005839_3_4,6,2010-06-05 21:52:24.000000,2010-06-05 22:26:00.000000,2010-06-05 22:04:37.000000,18167.29,6693.193,14862.322
6032078_1_4,10:631,6005839_3_4,9,2010-06-05 21:52:41.999999,2010-06-05 22:26:00.000000,2010-06-05 22:04:37.000000,17142.455,6693.193,14862.322
6032078_1_4,10:631,6005839_3_4,10,2010-06-05 21:54:07.000001,2010-06-05 22:28:00.000000,2010-06-05 22:06:37.000000,12984.467,6693.193,14862.322
6032078_1_4,10:631,6005839_3_4,11,2010-06-05 21:54:37.000002,2010-06-05 22:28:00.000000,2010-06-05 22:06:37.000000,9531.343,6693.193,14862.322
6032078_1_4,10:631,6005839_3_4,13,2010-06-05 21:54:01.000000,2010-06-05 22:28:00.000000,2010-06-05 22:06:37.000000,7668.027,6693.193,14862.322
6032078_1_4,10:630,6005839_3_4,1,2010-06-05 21:59:58.000000,2010-06-05 22:34:00.000000,2010-06-05 22:12:01.000000,20480.472,3540.276,14862.322
6032078_1_4,10:630,6005839_3_4,6,2010-06-05 21:55:14.000000,2010-06-05 22:30:00.000000,2010-06-05 22:08:01.000000,18801.998,3540.276,14862.322
6032078_1_4,10:630,6005839_3_4,9,2010-06-05 21:55:31.999999,2010-06-05 22:30:00.000000,2010-06-05 22:08:01.000000,17777.163,3540.276,14862.322
6032078_1_4,10:630,6005839_3_4,10,2010-06-05 21:56:57.000001,2010-06-05 22:31:00.000000,2010-06-05 22:09:01.000000,13619.175,3540.276,14862.322
6032078_1_4,10:630,6005839_3_4,11,2010-06-05 21:57:27.000000,2010-06-05 22:32:00.000000,2010-06-05 22:10:01.000000,10166.051,3540.276,14862.322
6032078_1_4,10:630,6005839_3_4,13,2010-06-05 21:56:50.999999,2010-06-05 22:31:00.000000,2010-06-05 22:09:01.000000,8302.735,3540.276,14862.322
6032078_1_4,10:629,6005839_3_4,1,2010-06-05 21:58:42.999999,2010-06-05 22:30:00.000000,2010-06-05 22:08:14.000001,21546.565,2769.631,14862.322
6032078_1_4,10:629,6005839_3_4,6,2010-06-05 21:53:59.000001,2010-06-05 22:25:00.000000,2010-06-05 22:03:14.000001,19868.091,2769.631,14862.322
6032078_1_4,10:629,6005839_3_4,9,2010-06-05 21:54:17.000001,2010-06-05 22:26:00.000000,2010-06-05 22:04:14.000001,18843.256,2769.631,14862.322
6032078_1_4,10:629,6005839_3_4,10,2010-06-05 21:55:42.000000,2010-06-05 22:27:00.000000,2010-06-05 22:05:14.000001,14685.268,2769.631,14862.322
6032078_1_4,10:629,6005839_3_4,11,2010-06-05 21:56:11.999999,2010-06-05 22:28:00.000000,2010-06-05 22:06:14.000001,11232.144,2769.631,14862.322
6032078_1_4,10:629,6005839_3_4,13,2010-06-05 21:55:36.000000,2010-06-05 22:27:00.000000,2010-06-05 22:05:14.000001,9368.828,2769.631,14862.322
6032078_1_4,10:628,6005839_3_4,1,2010-06-05 22:01:11.999999,2010-06-05 22:30:00.000000,2010-06-05 22:08:18.999999,22101.813,2052.152,14862.322
6032078_1_4,10:628,6005839_3_4,6,2010-06-05 21:56:28.000002,2010-06-05 22:25:00.000000,2010-06-05 22:03:18.999999,20423.339,2052.152,14862.322
6032078_1_4,10:628,6005839_3_4,9,2010-06-05 21:56:45.999999,2010-06-05 22:25:00.000000,2010-06-05 22:03:18.999999,19398.504,2052.152,14862.322
6032078_1_4,10:628,6005839_3_4,10,2010-06-05 21:58:11.000000,2010-06-05 22:27:00.000000,2010-06-05 22:05:18.999999,15240.516,2052.152,14862.322
6032078_1_4,10:628,6005839_3_4,11,2010-06-05 21:58:41.000002,2010-06-05 22:27:00.000000,2010-06-05 22:05:18.999999,11787.392,2052.152,14862.322
6032078_1_4,10:628,6005839_3_4,13,2010-06-05 21:58:05.000000,2010-06-05 22:27:00.000000,2010-06-05 22:05:18.999999,9924.076,2052.152,14862.322
6032078_1_4,10:627,6005839_3_4,1,2010-06-05 22:03:47.000003,2010-06-05 22:29:00.000000,2010-06-05 22:07:34.000001,22716.903,1439.509,14862.322
6032078_1_4,10:627,6005839_3_4,6,2010-06-05 21:59:03.000001,2010-06-05 22:25:00.000000,2010-06-05 22:03:34.000001,21038.429,1439.509,14862.322
