transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,transit_original_destination_time,integration_distance,shared_distance,destinations_distance,taxi_private_cost,taxi_shared_cost,transit_shared_cost
6073440_1_1,3:R14,6072815_1_6,1,2010-06-22 09:34:27.000001,2010-06-22 09:42:36.000000,2010-06-22 09:48:31.000000,2010-06-22 09:49:13.000000,1168.613,1896.596,1549.526,7.76157840042,3.88078997692,6.28786627729
6036859_2_2,10:R13,6029867_1_4,1,2010-05-24 18:06:32.000000,2010-05-24 18:14:42.999999,2010-05-24 18:35:06.999999,2010-05-24 18:39:08.999999,1639.553,1852.589,8566.764,7.25852855425,5.12572804169,18.4335748253
6095737_2_4,10:A28,6068278_1_1,1,2010-06-23 13:24:24.000000,2010-06-23 13:45:55.000002,2010-06-23 13:29:18.000000,2010-06-23 13:34:57.000000,2492.674,630.511,4343.682,12.9279769005,11.2734158033,4.52582073329
6105984_1_2,11:F09,6101562_1_1,1,2010-09-29 17:55:07.999998,2010-09-29 18:20:03.000000,2010-09-29 18:03:48.999999,2010-09-29 18:12:24.000000,24095.042,2270.879,8446.384,46.2506353295,35.8729518933,22.7521067121
6074049_1_2,3:630,6066590_1_2,4,2010-06-16 17:12:27.000000,2010-06-16 17:15:19.999999,2010-06-16 17:32:02.000000,2010-06-16 17:36:26.000000,2656.546,840.08,6865.966,10.2288341701,6.17119672562,15.3816578913
6105153_1_1,8:626,6104890_1_1,1,2010-10-15 08:38:00.000000,2010-10-15 08:49:02.000000,2010-10-15 09:01:27.000000,2010-10-15 09:08:31.000000,2050.684,5855.464,6878.672,8.77687220615,7.64081386113,18.3263321094
6070844_3_3,3:631,6068162_1_3,1,2010-06-17 13:41:08.000000,2010-06-17 13:49:37.000000,2010-06-17 14:06:12.999999,2010-06-17 14:13:21.000001,3101.724,2249.937,13668.512,7.84703400062,5.65670868404,26.8897511089
6092467_1_2,10:238,6059883_1_2,5,2010-06-26 13:57:32.000000,2010-06-26 14:32:57.000000,2010-06-26 14:02:08.999999,2010-06-26 14:11:15.000000,11283.938,632.128,20415.053,57.5722467222,44.1764989881,11.1487056414
6017161_1_2,3:F27,6022627_1_10,5,2010-05-23 22:34:42.000000,2010-05-23 22:59:48.000001,2010-05-23 22:37:34.999999,2010-05-23 22:46:45.000001,24494.688,994.069,6554.762,54.7316599137,32.8411143112,21.5474680323
6034937_2_2,3:126,6028436_2_3,1,2010-06-04 11:38:06.000000,2010-06-04 11:43:57.999999,2010-06-04 11:58:23.999998,2010-06-04 12:07:16.000000,2138.582,1732.613,15697.147,8.56156094094,4.50681038543,28.8911902068
6117513_1_2,8:G12,6094751_1_2,3,2010-10-02 13:14:07.000000,2010-10-02 13:42:38.999999,2010-10-02 13:14:37.000000,2010-10-02 13:17:42.000000,12566.066,185.629,25006.789,61.0197559455,52.1820098847,11.4044168423
6065788_1_1,10:D15,6027204_1_2,4,2010-06-16 09:34:54.000000,2010-06-16 09:41:35.000001,2010-06-16 09:37:32.000000,2010-06-16 09:37:37.000000,161.542,747.41,1184.463,6.82904189132,5.72047299935,2.20599551649
6061340_1_2,10:L03,6056214_1_4,1,2010-06-18 16:13:16.000000,2010-06-18 16:45:39.000000,2010-06-18 16:33:26.000000,2010-06-18 16:40:29.000000,3269.226,7570.413,7303.589,22.9593682645,22.0115593243,10.665963323
6078202_2_2,10:G06,6104045_2_1,1,2010-06-18 16:39:08.000000,2010-06-18 17:25:32.000001,2010-06-18 17:03:55.000001,2010-06-18 17:31:25.000001,7881.476,12311.375,10505.118,53.704269412,36.0763375487,19.7573983567
6035741_1_1,10:627,6104081_3_1,1,2010-05-17 08:31:22.000000,2010-05-17 09:09:10.000000,2010-05-17 08:55:35.999999,2010-05-17 09:04:39.000001,291.105,5041.536,3001.979,14.9463825335,12.9719589882,8.30860225518
