transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6005152_1_2,3:627,6072510_1_3,4,2010-06-18 18:37:48.000000,2010-06-18 18:40:25.999999,2010-06-18 18:52:48.000002,879.414,723.367,9672.609
6005152_1_2,3:627,6072510_1_3,6,2010-06-18 18:39:29.000000,2010-06-18 18:41:25.999999,2010-06-18 18:53:48.000002,415.397,723.367,9672.609
6005152_1_2,3:627,6104045_2_3,4,2010-06-18 18:37:48.000000,2010-06-18 18:40:25.999999,2010-06-18 18:52:48.000002,879.414,723.367,9672.609
6005152_1_2,3:627,6104045_2_3,6,2010-06-18 18:39:29.000000,2010-06-18 18:41:25.999999,2010-06-18 18:53:48.000002,415.397,723.367,9672.609
6005152_1_2,3:627,6105098_2_3,4,2010-06-18 18:37:48.000000,2010-06-18 18:40:25.999999,2010-06-18 18:52:48.000002,879.414,723.367,9672.609
6005152_1_2,3:627,6105098_2_3,6,2010-06-18 18:39:29.000000,2010-06-18 18:41:25.999999,2010-06-18 18:53:48.000002,415.397,723.367,9672.609
6006005_1_1,3:626,6031819_2_1,1,2010-05-17 08:33:14.000001,2010-05-17 08:56:35.000001,2010-05-17 08:44:00.000000,836.988,5178.43,2865.36
6006005_1_1,3:626,6104081_3_1,1,2010-05-17 08:33:14.000001,2010-05-17 08:56:35.000001,2010-05-17 08:44:00.000000,836.988,5178.43,2865.36
6006418_1_2,3:628,6031905_1_1,2,2010-06-01 17:04:39.000001,2010-06-01 17:18:46.000000,2010-06-01 17:37:40.999999,1237.065,2399.213,12738.061
6007270_2_3,10:628,6026699_1_2,4,2010-05-18 18:08:57.000001,2010-05-18 18:35:17.000000,2010-05-18 18:24:02.000000,1667.505,3332.135,2889.731
6007270_2_3,10:628,6026699_1_2,8,2010-05-18 18:08:50.000000,2010-05-18 18:35:17.000000,2010-05-18 18:24:02.000000,1331.541,3332.135,2889.731
6007270_2_3,10:629,6026699_1_2,1,2010-05-18 18:04:31.000000,2010-05-18 18:33:17.000000,2010-05-18 18:22:51.000001,1386.399,2618.779,2889.731
6007270_2_3,10:629,6026699_1_2,3,2010-05-18 18:04:22.000001,2010-05-18 18:33:17.000000,2010-05-18 18:22:51.000001,736.949,2618.779,2889.731
6007270_2_3,10:629,6026699_1_2,8,2010-05-18 18:07:45.000000,2010-05-18 18:33:17.000000,2010-05-18 18:22:51.000001,1095.538,2618.779,2889.731
6007626_2_3,3:113,6007906_1_3,10,2010-05-27 12:46:36.000002,2010-05-27 13:27:02.000000,2010-05-27 12:59:17.999999,2096.217,10310.543,23430.83
6007626_2_3,3:113,6054183_2_3,10,2010-05-27 12:46:36.000002,2010-05-27 13:27:02.000000,2010-05-27 12:59:17.999999,2096.217,10310.543,23430.83
6007626_2_3,3:113,6007906_3_3,10,2010-05-27 12:46:36.000002,2010-05-27 13:27:02.000000,2010-05-27 12:59:17.999999,2096.217,10310.543,23430.83
6007626_2_3,3:119,6007906_1_3,7,2010-05-27 12:35:18.000000,2010-05-27 13:20:02.000000,2010-05-27 12:52:07.999999,753.564,6676.144,23430.83
6007626_2_3,3:119,6054183_2_3,7,2010-05-27 12:35:18.000000,2010-05-27 13:20:02.000000,2010-05-27 12:52:07.999999,753.564,6676.144,23430.83
6007626_2_3,3:119,6007906_3_3,7,2010-05-27 12:35:18.000000,2010-05-27 13:20:02.000000,2010-05-27 12:52:07.999999,753.564,6676.144,23430.83
6007626_2_3,3:120,6007906_1_3,2,2010-05-27 12:36:03.000001,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,1683.299,5923.816,23430.83
6007626_2_3,3:120,6007906_1_3,4,2010-05-27 12:35:18.999999,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,1053.645,5923.816,23430.83
6007626_2_3,3:120,6007906_1_3,7,2010-05-27 12:32:56.000000,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,225.155,5923.816,23430.83
6007626_2_3,3:120,6054183_2_3,2,2010-05-27 12:36:03.000001,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,1683.299,5923.816,23430.83
6007626_2_3,3:120,6054183_2_3,4,2010-05-27 12:35:18.999999,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,1053.645,5923.816,23430.83
6007626_2_3,3:120,6054183_2_3,7,2010-05-27 12:32:56.000000,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,225.155,5923.816,23430.83
6007626_2_3,3:120,6007906_3_3,2,2010-05-27 12:36:03.000001,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,1683.299,5923.816,23430.83
6007626_2_3,3:120,6007906_3_3,4,2010-05-27 12:35:18.999999,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,1053.645,5923.816,23430.83
6007626_2_3,3:120,6007906_3_3,7,2010-05-27 12:32:56.000000,2010-05-27 13:24:02.000000,2010-05-27 12:56:14.000001,225.155,5923.816,23430.83
6007626_2_3,3:121,6007906_1_3,2,2010-05-27 12:31:53.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,725.878,4579.89,23430.83
6007626_2_3,3:121,6007906_1_3,4,2010-05-27 12:32:25.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,292.042,4579.89,23430.83
6007626_2_3,3:121,6007906_1_3,7,2010-05-27 12:36:14.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,997.347,4579.89,23430.83
6007626_2_3,3:121,6054183_2_3,2,2010-05-27 12:31:53.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,725.878,4579.89,23430.83
6007626_2_3,3:121,6054183_2_3,4,2010-05-27 12:32:25.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,292.042,4579.89,23430.83
6007626_2_3,3:121,6054183_2_3,7,2010-05-27 12:36:14.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,997.347,4579.89,23430.83
6007626_2_3,3:121,6007906_3_3,2,2010-05-27 12:31:53.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,725.878,4579.89,23430.83
6007626_2_3,3:121,6007906_3_3,4,2010-05-27 12:32:25.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,292.042,4579.89,23430.83
6007626_2_3,3:121,6007906_3_3,7,2010-05-27 12:36:14.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:47.000000,997.347,4579.89,23430.83
6007626_2_3,3:122,6007906_1_3,2,2010-05-27 12:34:36.999999,2010-05-27 13:26:02.000000,2010-05-27 12:58:12.000000,1285.094,4201.293,23430.83
6007626_2_3,3:122,6007906_1_3,4,2010-05-27 12:34:40.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:12.000000,837.175,4201.293,23430.83
6007626_2_3,3:122,6054183_2_3,2,2010-05-27 12:34:36.999999,2010-05-27 13:26:02.000000,2010-05-27 12:58:12.000000,1285.094,4201.293,23430.83
6007626_2_3,3:122,6054183_2_3,4,2010-05-27 12:34:40.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:12.000000,837.175,4201.293,23430.83
6007626_2_3,3:122,6007906_3_3,2,2010-05-27 12:34:36.999999,2010-05-27 13:26:02.000000,2010-05-27 12:58:12.000000,1285.094,4201.293,23430.83
6007626_2_3,3:122,6007906_3_3,4,2010-05-27 12:34:40.000000,2010-05-27 13:26:02.000000,2010-05-27 12:58:12.000000,837.175,4201.293,23430.83
6009811_1_2,10:126,6026699_1_2,1,2010-05-18 18:03:56.000000,2010-05-18 18:33:38.999999,2010-05-18 18:17:46.000001,1141.358,1504.688,7063.71
6009811_1_2,10:125,6026699_1_2,1,2010-05-18 18:03:17.000000,2010-05-18 18:31:38.999999,2010-05-18 18:15:13.000000,910.993,521.338,7063.71
6009869_2_3,10:113,6007906_1_3,10,2010-05-27 12:46:36.000002,2010-05-27 13:27:02.000000,2010-05-27 12:59:17.999999,2096.217,10310.543,23430.83
6009869_2_3,10:113,6054183_2_3,10,2010-05-27 12:46:36.000002,2010-05-27 13:27:02.000000,2010-05-27 12:59:17.999999,2096.217,10310.543,23430.83
6009869_2_3,10:113,6007906_3_3,10,2010-05-27 12:46:36.000002,2010-05-27 13:27:02.000000,2010-05-27 12:59:17.999999,2096.217,10310.543,23430.83
