transit_id,taxi_id,detour_factor
6057248_1_1,6076464_2_1,0.8354978395419879
6057248_1_1,6076464_2_1,0.8623376655624895
6057248_1_1,6076464_2_1,0.8623376655624895
6057248_1_1,6076464_2_1,0.8623376655624895
6057248_1_1,6076464_2_1,0.8623376655624895
6065158_2_1,6069496_1_3,0.6024154581630841
6065158_2_1,6069496_1_3,0.5154589364659616
6065158_2_1,6069496_1_3,0.4864734292335875
6065158_2_1,6069496_1_3,0.4574879220012133
6065158_2_1,6069496_1_3,0.6024154581630841
6065158_2_1,6069496_1_3,0.5444444436983358
6065158_2_1,6069496_1_3,0.5444444436983358
